spring-6 26.664     4.785      73200.0     28411.939 
spring-6 4.440      0.404      73200.0     30724.275 
spring-5 10.302     1.193      61000.0     32989.936 
spring-1 80.809     10.519     45900.0     54290.990 
spring-4 49.421     8.435      48800.0     29164.187 
spring-4 10.926     1.573      48800.0     38016.099 
spring-6 4.620      0.404      73200.0     31947.092 
spring-1 91.689     12.192     45900.0     51672.422 
spring-5 21.474     3.403      61000.0     31775.621 
spring-2 29.811     3.854      47000.0     53402.591 
spring-3 6.348      0.404      59200.0     47250.480 
spring-4 93.892     12.850     48800.0     22508.626 
spring-1 97.326     13.838     45900.0     49937.775 
spring-6 4.401      0.404      73200.0     30997.731 
spring-3 6.365      0.404      59200.0     47486.315 
spring-4 54.804     8.046      48800.0     25523.374 
spring-2 35.153     4.405      47000.0     50221.714 
spring-6 4.420      0.404      73200.0     30395.897 
spring-3 6.309      0.404      59200.0     47102.813 
spring-5 26.744     4.319      61000.0     29428.036 
spring-5 10.310     1.193      61000.0     33094.210 
spring-4 72.024     10.997     48800.0     27902.715 
spring-1 108.089    15.934     45900.0     46582.642 
spring-1 75.441     9.611      45900.0     56629.547 
spring-5 26.949     4.785      61000.0     30292.320 
spring-2 24.392     3.616      47000.0     55825.767 
spring-3 6.315      0.404      59200.0     47175.542 
spring-2 29.810     3.854      47000.0     53509.046 
spring-2 24.355     3.616      47000.0     55484.919 
spring-3 6.311      0.404      59200.0     47234.179 
